CompanyId,ReadingDate,DailyVolume(m3),ReadingType
1,18/08/2024,93.96,Actual
20,30/05/2025,127.6,Actual
14,03/08/2025,209.92,Estimated
16,13/02/2024,950.14,Actual
8,21/10/2023,208.39,Actual
4,29/02/2024,162.97,Actual
11,09/04/2024,851.35,Actual
10,28/11/2023,914.52,Actual
13,26/11/2025,625.09,Actual
18,05/03/2024,334.43,Actual
10,20/08/2023,947.48,Estimated
16,30/01/2024,957.29,Actual
7,11/10/2025,117.57,Actual
4,01/07/2025,174.11,Actual
18,13/03/2024,306.41,Actual
15,11/11/2025,183.36,Actual
17,22/01/2023,134.43,Actual
11,19/09/2024,718.15,Actual
9,09/06/2025,128.95,Actual
5,01/09/2023,77.38,Actual
19,05/03/2025,638.55,Actual
20,14/12/2024,142.25,Actual
1,20/01/2024,103.56,Estimated
6,14/01/2025,1016.22,Estimated
2,01/08/2025,176.89,Estimated
14,14/10/2023,207.88,Actual
13,20/12/2023,732.69,Actual
12,14/03/2023,98.12,Actual
3,06/04/2025,948.22,Actual
8,05/08/2025,210.28,Actual
3,22/03/2024,934.66,Actual
16,25/04/2024,949.57,Actual
12,02/03/2024,83.45,Actual
10,22/10/2023,906.18,Actual
13,13/08/2023,787.57,Actual
11,12/07/2025,848.42,Actual
17,04/01/2024,159.74,Actual
9,10/01/2025,103.27,Actual
6,27/08/2024,1076.3,Actual
8,08/06/2024,184.12,Actual
14,24/05/2024,192.84,Actual
18,08/10/2025,363.85,Estimated
19,25/08/2025,551.65,Actual
7,09/03/2023,101.41,Actual
4,16/04/2024,165.06,Estimated
5,29/11/2025,91.72,Actual
20,01/10/2023,138.08,Estimated
15,05/03/2025,179.3,Actual
1,13/11/2025,90.56,Actual
2,23/02/2025,165.27,Actual
12,13/05/2024,102.12,Estimated
11,15/03/2023,865.27,Actual
19,01/12/2024,508.65,Actual
16,02/03/2024,953.92,Actual
13,29/09/2023,656.14,Actual
15,23/07/2025,190.12,Actual
8,25/10/2024,188.77,Actual
17,05/02/2023,127.6,Actual
7,06/06/2025,120.85,Estimated
14,04/10/2023,208.72,Estimated
10,10/06/2023,937.52,Actual
2,13/01/2025,142.09,Actual
20,26/11/2023,143.05,Estimated
4,07/06/2025,161.12,Actual
5,02/06/2025,104.53,Actual
18,20/11/2024,310.68,Estimated
1,13/06/2023,92.24,Actual
3,31/05/2025,964.54,Actual
6,10/07/2023,967.54,Estimated
9,06/07/2025,125.25,Actual
18,30/11/2024,307.91,Actual
1,28/06/2023,104.07,Actual
6,22/02/2025,1098.96,Actual
4,20/06/2023,152.28,Estimated
10,11/04/2025,928.14,Actual
2,12/12/2025,175.39,Actual
3,29/01/2023,901.34,Actual
19,26/08/2023,552.28,Actual
11,11/05/2025,895.01,Actual
15,19/07/2024,161.52,Estimated
12,10/06/2025,85.16,Actual
20,23/12/2024,111.66,Actual
13,26/11/2023,698.38,Estimated
17,21/03/2025,155.73,Estimated
16,14/05/2025,1003.99,Actual
14,06/04/2024,181.86,Actual
7,09/09/2025,102.58,Actual
9,22/07/2023,95.44,Actual
8,30/12/2025,208.68,Actual
5,19/12/2025,83.2,Actual
2,03/12/2023,167.95,Actual
8,10/03/2025,210.93,Estimated
3,08/06/2023,925.99,Actual
1,07/01/2024,95.68,Actual
15,11/01/2024,154.94,Actual
5,21/07/2023,78.02,Actual
16,02/11/2024,1043.98,Actual
6,29/10/2025,1037.25,Actual
11,04/12/2023,840.05,Actual
20,07/12/2023,118.2,Actual
9,19/07/2023,125.83,Actual
10,03/03/2025,874.44,Actual
12,06/07/2025,110.41,Actual
4,15/02/2024,151.84,Actual
13,06/07/2023,703.44,Actual
18,16/06/2025,391.99,Actual
14,10/10/2025,186.37,Actual
17,02/10/2023,139.16,Estimated
7,21/05/2025,132.37,Estimated
19,22/05/2023,581.82,Estimated
5,21/03/2025,100.37,Estimated
20,10/03/2023,146.74,Actual
17,25/11/2023,144.85,Actual
19,15/08/2024,539.33,Actual
6,01/01/2023,1079.24,Actual
13,02/09/2023,728.78,Actual
1,27/12/2025,98.25,Actual
2,16/02/2025,177.08,Actual
15,08/10/2025,151.1,Actual
14,23/09/2024,215.98,Actual
11,11/11/2025,742.96,Actual
8,14/08/2023,192.71,Actual
10,27/06/2024,927.61,Actual
3,31/12/2024,932.22,Estimated
4,03/10/2023,179.25,Actual
16,11/10/2024,1016.62,Actual
18,21/02/2023,394.02,Actual
12,12/06/2023,83.14,Actual
9,12/03/2025,105.49,Actual
7,18/06/2025,120.32,Actual
7,23/08/2024,124.18,Actual
1,02/01/2023,99.02,Actual
20,20/11/2023,117.53,Actual
3,09/03/2023,957.79,Actual
4,25/08/2024,158.86,Estimated
15,23/04/2025,151,Actual
10,02/06/2023,873.06,Estimated
17,15/07/2025,124.14,Actual
6,22/11/2023,1047.19,Actual
16,13/06/2025,920.8,Actual
19,24/09/2024,618.28,Actual
11,22/08/2024,727.01,Estimated
14,11/09/2025,200.71,Actual
5,21/08/2025,94.22,Estimated
18,14/12/2023,359.41,Actual
8,04/01/2023,196.29,Actual
12,15/01/2024,97.59,Actual
13,29/01/2025,632.06,Actual
2,19/12/2024,148.01,Actual
9,22/05/2024,118.21,Actual
6,05/04/2024,1031.72,Actual
20,11/01/2024,129.39,Actual
3,17/09/2023,959.89,Estimated
14,23/09/2024,204.53,Actual
11,30/06/2025,856.34,Estimated
15,12/09/2024,161.96,Actual
1,22/10/2025,80.1,Actual
13,16/12/2025,618.32,Actual
10,11/08/2024,946.84,Actual
5,08/03/2025,100.66,Actual
16,18/02/2024,1031.85,Actual
9,20/09/2024,108.14,Actual
19,24/10/2024,555.99,Actual
8,28/08/2025,201.45,Actual
2,31/08/2025,142.29,Actual
7,20/07/2024,113.67,Estimated
18,30/10/2024,310.17,Actual
17,10/11/2025,159.72,Actual
12,17/11/2025,120.49,Actual
4,01/09/2025,155.31,Actual
6,01/03/2024,974.57,Estimated
16,09/08/2023,937.61,Actual
20,28/03/2023,112.91,Actual
14,02/10/2025,215.54,Actual
7,20/10/2023,107.74,Actual
17,16/12/2024,143.45,Actual
12,16/11/2023,85.64,Actual
5,25/04/2023,109,Actual
8,15/04/2025,201.04,Actual
2,16/12/2023,161.09,Estimated
3,16/10/2025,986.6,Actual
9,17/10/2023,122.53,Actual
15,18/09/2023,180.39,Actual
13,28/09/2023,766.33,Estimated
1,06/12/2025,104.22,Estimated
4,01/10/2024,166.06,Actual
19,20/02/2025,603.05,Estimated
11,07/06/2025,745.81,Actual
10,08/07/2025,935.83,Estimated
18,26/06/2025,325.58,Actual
19,26/05/2024,502.62,Estimated
6,14/05/2024,1077.2,Actual
18,12/09/2023,386.67,Actual
3,01/04/2025,972.9,Actual
15,21/01/2024,157.75,Actual
10,14/12/2024,867.61,Actual
16,28/07/2025,1050.78,Actual
5,04/04/2025,92.41,Actual
13,30/04/2025,748.4,Actual
17,17/10/2024,136.98,Actual
4,17/11/2025,178.02,Actual
1,13/12/2024,88.21,Actual
2,21/08/2025,159.16,Actual
8,20/07/2023,218.13,Actual
11,02/10/2023,864.14,Actual
9,05/11/2024,107.25,Actual
12,30/11/2025,110.24,Actual
20,16/03/2025,134.4,Actual
7,25/08/2025,102.93,Actual
14,22/06/2024,190.61,Actual
5,11/07/2023,87.26,Actual
19,07/06/2025,553.56,Actual
8,15/10/2023,190.21,Estimated
11,17/10/2024,887.72,Actual
20,10/04/2025,143.15,Actual
12,17/09/2023,101.85,Actual
16,20/01/2023,990.12,Actual
14,31/03/2023,217.47,Estimated
4,05/11/2025,186.16,Actual
6,19/08/2025,998.94,Actual
3,25/02/2025,927.77,Actual
17,13/10/2025,121.42,Actual
2,22/03/2023,149.72,Actual
1,14/06/2025,106.82,Actual
7,02/01/2024,130.33,Actual
10,03/01/2024,854.56,Actual
15,03/01/2024,165.63,Actual
9,11/10/2024,123.98,Estimated
18,22/02/2025,321.79,Actual
13,30/01/2023,780.09,Actual
1,24/06/2025,92.31,Actual
11,11/07/2023,882.45,Actual
19,30/05/2023,650.26,Estimated
17,31/03/2023,141.59,Actual
5,29/11/2023,80.53,Estimated
6,11/02/2024,952.11,Actual
7,17/09/2024,119.72,Actual
14,14/03/2025,190.95,Actual
2,30/12/2024,158.59,Actual
15,13/06/2025,165.31,Actual
4,18/07/2023,169.21,Estimated
20,15/04/2024,127.09,Estimated
16,10/07/2023,923.87,Estimated
8,29/04/2025,211.78,Actual
3,15/03/2023,983.66,Actual
12,11/12/2025,119.03,Actual
13,17/02/2023,757.02,Actual
18,20/10/2024,304.05,Actual
10,29/11/2025,891.61,Actual
9,13/09/2024,129.92,Actual
9,29/04/2025,113.21,Actual
14,03/03/2023,193.65,Actual
10,04/07/2025,945.07,Actual
11,21/10/2025,703.78,Actual
8,25/06/2025,207.01,Actual
2,04/07/2024,177.6,Actual
20,11/01/2025,145.57,Estimated
12,27/04/2025,108.89,Actual
19,08/05/2025,525.41,Actual
6,11/07/2023,1046.9,Actual
1,06/05/2024,81.81,Actual
16,08/05/2023,928.73,Actual
17,05/01/2023,149.02,Actual
13,03/06/2025,670.79,Actual
5,25/09/2024,93.61,Actual
15,18/09/2025,162.87,Actual
3,20/12/2024,970.79,Actual
4,17/08/2025,190.04,Estimated
18,08/12/2024,398.01,Actual
7,20/07/2023,108.73,Actual
1,10/05/2023,118.64,Actual
2,28/10/2023,141.93,Actual
20,11/04/2025,114.89,Actual
14,20/06/2025,212.68,Actual
3,27/10/2024,961.65,Actual
7,15/02/2025,116.76,Actual
9,06/05/2025,96.44,Actual
6,12/01/2025,962.26,Estimated
17,01/04/2024,159.98,Actual
16,11/12/2025,1048.29,Actual
15,02/08/2025,175.96,Estimated
13,21/07/2024,737.52,Actual
10,03/10/2023,938.62,Actual
5,23/05/2023,74.49,Actual
19,22/05/2024,550.81,Actual
4,17/03/2024,170.09,Estimated
11,28/04/2024,859.21,Estimated
12,06/03/2025,82.15,Actual
8,08/11/2023,210.24,Actual
18,17/08/2024,317.27,Estimated
4,04/07/2025,151.4,Actual
15,08/09/2025,152.02,Actual
9,25/10/2024,93.94,Actual
10,24/08/2024,935.81,Actual
6,16/06/2025,992.52,Actual
13,19/06/2023,613.46,Actual
11,20/09/2024,807.27,Actual
16,29/09/2024,913.49,Estimated
3,20/03/2024,933.65,Actual
2,14/05/2025,157.13,Actual
17,23/02/2024,157.33,Actual
7,31/07/2024,103.53,Actual
8,22/04/2025,199.25,Actual
14,14/02/2024,206.22,Actual
1,15/03/2025,117.64,Estimated
19,22/12/2024,632.35,Actual
20,12/08/2023,114.56,Actual
18,11/05/2024,396.08,Actual
12,06/01/2024,96.03,Estimated
5,18/11/2023,92.56,Actual
17,27/01/2025,121.4,Actual
3,17/05/2025,984.44,Actual
2,09/01/2024,147.01,Estimated
20,20/02/2025,147.86,Actual
6,30/10/2025,986.51,Actual
11,24/11/2025,723.55,Actual
1,25/06/2023,85.17,Actual
7,03/02/2023,101.9,Actual
18,11/01/2024,342.31,Actual
8,17/02/2023,206.3,Actual
13,20/05/2025,742.69,Estimated
15,12/07/2025,151.59,Actual
16,16/06/2023,915.02,Actual
10,15/02/2024,876.84,Actual
19,16/10/2024,534.61,Actual
12,09/05/2024,104.53,Actual
14,07/10/2024,219.63,Actual
9,27/08/2025,94.06,Actual
5,14/09/2023,109.44,Actual
4,27/12/2023,168.61,Actual
4,05/12/2024,182.28,Actual
9,04/01/2024,93.15,Actual
5,25/03/2024,84.69,Actual
10,19/05/2023,913.58,Actual
18,12/12/2023,354.99,Actual
17,26/12/2025,125.88,Actual
11,29/01/2025,759.61,Actual
19,24/09/2023,614.13,Actual
6,18/07/2024,993.9,Actual
20,10/04/2023,136.44,Actual
8,14/02/2024,200.75,Actual
1,29/08/2023,97.75,Actual
2,07/06/2024,176.41,Actual
15,28/10/2025,154.75,Actual
13,05/05/2025,701.72,Actual
3,22/12/2023,903.58,Actual
12,16/12/2025,103.91,Actual
16,08/01/2024,965.86,Actual
14,22/01/2024,193.55,Actual
7,01/07/2023,137.75,Actual
1,25/07/2023,119.18,Actual
6,01/04/2023,1028.66,Actual
19,06/11/2025,570.35,Actual
9,22/09/2025,102.44,Actual
3,14/01/2024,949.87,Actual
18,25/06/2024,373.49,Actual
5,21/08/2025,102.04,Actual
10,03/08/2023,914.83,Actual
11,14/07/2024,790.53,Actual
17,09/09/2024,159.82,Actual
20,15/07/2025,141.05,Actual
7,25/09/2024,105.46,Actual
12,26/10/2024,108.14,Estimated
4,31/07/2023,187.2,Actual
2,08/01/2025,169.36,Actual
14,09/10/2025,213.55,Actual
16,10/01/2025,924.66,Actual
8,20/12/2024,192.89,Estimated
13,29/06/2024,689.77,Actual
15,15/03/2024,181.67,Actual
7,10/06/2023,100.93,Actual
3,06/11/2024,951.48,Actual
9,26/12/2023,118.66,Actual
1,07/02/2023,102.85,Actual
11,16/04/2025,771.29,Actual
5,21/09/2023,95.01,Actual
20,18/08/2024,135.73,Actual
19,14/11/2025,564.42,Actual
6,12/04/2024,1063.09,Actual
8,15/08/2025,211.97,Actual
2,28/05/2025,140.46,Actual
17,18/12/2024,156.44,Actual
13,15/08/2025,723.5,Actual
15,24/01/2023,174.02,Actual
12,15/09/2023,87.35,Actual
10,31/07/2023,926.35,Actual
4,07/11/2023,168.21,Estimated
16,19/03/2023,1025.78,Actual
14,08/12/2023,191.29,Estimated
18,13/10/2024,372.28,Actual
2,28/05/2024,156.5,Actual
14,25/02/2023,185.49,Actual
7,01/06/2024,135.26,Actual
16,26/10/2024,960.23,Actual
5,17/10/2025,83.35,Actual
15,29/05/2024,189.35,Actual
1,28/07/2023,95.58,Actual
19,02/03/2023,605.45,Actual
12,15/09/2025,93.38,Actual
6,10/03/2025,972.7,Actual
3,13/03/2025,975.74,Actual
17,21/07/2023,155,Actual
10,25/07/2024,871.69,Actual
20,17/12/2025,119.58,Actual
8,26/09/2024,212.5,Estimated
13,15/08/2024,720.94,Actual
11,15/11/2025,866.65,Actual
4,28/03/2025,180.71,Actual
18,03/09/2023,361.94,Actual
9,30/01/2023,105.26,Actual
11,06/06/2024,859.36,Actual
15,02/05/2025,158.9,Actual
8,28/04/2025,203.69,Actual
2,18/10/2024,144.11,Actual
3,12/04/2025,944.85,Estimated
17,18/01/2025,133.77,Actual
5,27/10/2024,82.81,Estimated
19,13/10/2025,646.7,Actual
7,17/05/2024,138.91,Actual
16,03/10/2025,1026.82,Estimated
9,19/03/2023,108.05,Actual
6,28/08/2025,1093.18,Actual
13,26/05/2025,693.76,Actual
12,01/11/2023,86.09,Actual
1,09/02/2025,102.11,Actual
20,20/05/2025,130.31,Actual
14,15/10/2025,206.17,Actual
10,17/12/2025,867.36,Actual
4,25/02/2023,172.7,Actual
18,08/12/2025,308.11,Actual
13,02/09/2023,705.55,Actual
6,07/01/2023,1010.58,Actual
14,18/03/2024,205.9,Actual
15,11/05/2025,180.51,Actual
1,13/10/2024,84.47,Actual
8,24/02/2023,205.13,Actual
19,26/08/2023,595.75,Actual
2,22/11/2023,150.62,Actual
7,20/04/2023,106.16,Actual
20,10/11/2024,150.31,Actual
18,13/12/2025,363.51,Actual
